Opcode,Mnemonic,2BOP,1U,OSO,OSO.AFF,MRM,IMM,OP,LD.EIP,EIP.MUX,DS,imx,LD.EFLAGS,LD.CS,CS.MUX,LD.SREG,SREG.MUX,OPDec,,,,,,,
37,AAA,0,1,0,0,0,0,37,0,XXX,XX,XX,1,0,XX,0,X,55,,,,2BOP = 2-bit opcode?,,,
81 /2 id,"ADC r/m32,imm32",0,1,0,0,1,4,81,0,XXX,10,11,0,0,XX,0,X,129,,,,1U = can be done in 1 uop (just for reference),,,
83 /2 ib,"ADC r/m32,imm8",0,1,0,0,1,1,83,0,XXX,10,00,0,0,XX,0,X,131,,,,OSO = REQUIRES operand size override?,,,
11 /r,"ADC r/m32,r32",0,1,0,0,1,0,11,0,XXX,10,XX,0,0,XX,0,X,17,,,,OSO.AFF = affected by operand size override?,,,
13 /r,"ADC r32,r/m32",0,1,0,0,1,0,13,0,XXX,10,XX,0,0,XX,0,X,19,,,,MRM = # bytes for modr/m,,,
04 ib,"ADD AL,imm8",0,1,0,0,0,1,04,0,XXX,00,00,1,0,XX,0,X,4,,,,IMM = # bytes for immediate,,,
05 iw,"ADD AX,imm16",0,1,1,1,0,2,05,0,XXX,01,01,1,0,XX,0,X,5,,,,OP = opcode (2nd byte of 0F opcodes),,,
05 id,"ADD EAX,imm32",0,1,0,1,0,4,05,0,XXX,10,11,1,0,XX,0,X,5,,,,LD.EIP = changes EIP in EX,,,
80 /0 ib,"ADD r/m8,imm8",0,1,0,0,1,1,80,0,XXX,00,00,1,0,XX,0,X,128,,,,EIP.MUX = new EIP source,,,
81 /0 iw,"ADD r/m16,imm16",0,1,1,1,1,2,81,0,XXX,01,01,1,0,XX,0,X,129,,,,DS = Data size,,,
81 /0 id,"ADD r/m32,imm32",0,1,0,1,1,4,81,0,XXX,10,11,1,0,XX,0,X,129,,,,imx = immediate mux select,,,
83 /0 ib,"ADD r/m16,imm8",0,1,1,1,1,1,83,0,XXX,01,00,1,0,XX,0,X,131,,,,LD.EFLAGS = Changes EFLAGS in EX,,,
83 /0 ib,"ADD r/m32,imm8",0,1,0,1,1,1,83,0,XXX,10,00,1,0,XX,0,X,131,,,,,,,
00 /r,"ADD r/m8,r8",0,1,0,0,1,0,00,0,XXX,00,XX,1,0,XX,0,X,0,,,,LD.CS = is a far branch (writes CS in EX?),,,
01 /r,"ADD r/m16,r16",0,1,1,1,1,0,01,0,XXX,01,XX,1,0,XX,0,X,1,,,,CS.MUX = new CS source,,,
01 /r,"ADD r/m32,r32",0,1,0,1,1,0,01,0,XXX,10,XX,1,0,XX,0,X,1,,,,"LD.SREG = changes DS, ES, CS, SS, FS, or GS in WB",,,
02 /r,"ADD r8,r/m8",0,1,0,0,1,0,02,0,XXX,00,XX,1,0,XX,0,X,2,,,,SREG.MUX = new SREG value source (r or m),,,
03 /r,"ADD r16,r/m16",0,1,1,1,1,0,03,0,XXX,01,XX,1,0,XX,0,X,3,,,,OPD = opcode in decimal (for easy sorting when making ROM tables),,,
03 /r,"ADD r32,r/m32",0,1,0,1,1,0,03,0,XXX,10,XX,1,0,XX,0,X,3,,,,,,,= depends on whether r or m
24 ib,"AND AL,imm8",0,1,0,0,0,1,24,0,XXX,00,00,1,0,XX,0,X,36,,,,,,,= control signal changes between the multiple uops 
25 iw,"AND AX,imm16",0,1,1,1,0,2,25,0,XXX,01,01,1,0,XX,0,X,37,,,,,,,= reminder that accurate data.size needed for stack
25 id,"AND EAX,imm32",0,1,0,1,0,4,25,0,XXX,10,11,1,0,XX,0,X,37,,,,,,,= a rare case when imm16 is zero-extended
80 /4 ib,"AND r/m8,imm8",0,1,0,0,1,1,80,0,XXX,00,00,1,0,XX,0,X,128,,,,,,,
