Opcode,Mnemonic,2BOP,MRM,IMM,OP,EIP,Sreg,1U,OSO,DS,imx,EF,EIP.MUX,FAR.BR,LD.SREG,SREG.MUX,OSO.AFF,OP.DECIMAL
00 /r,"ADD r/m8,r8",0,1,0,00,0,0,1,0,00,XX,1,XX,0,0,X,0,0
01 /r,"ADD r/m16,r16",0,1,0,01,0,0,1,1,01,XX,1,XX,0,0,X,1,1
01 /r,"ADD r/m32,r32",0,1,0,01,0,0,1,0,10,XX,1,XX,0,0,X,1,1
02 /r,"ADD r8,r/m8",0,1,0,02,0,0,1,0,00,XX,1,XX,0,0,X,0,2
03 /r,"ADD r16,r/m16",0,1,0,03,0,0,1,1,01,XX,1,XX,0,0,X,1,3
03 /r,"ADD r32,r/m32",0,1,0,03,0,0,1,0,10,XX,1,XX,0,0,X,1,3
04 ib,"ADD AL,imm8",0,0,1,04,0,0,1,0,00,00,1,XX,0,0,X,0,4
05 iw,"ADD AX,imm16",0,0,2,05,0,0,1,1,01,01,1,XX,0,0,X,1,5
05 id,"ADD EAX,imm32",0,0,4,05,0,0,1,0,10,11,1,XX,0,0,X,1,5
06,PUSH ES,0,0,0,06,0,0,1,0,01/10,XX,0,XX,0,0,X,1,6
07,POP ES,0,0,0,07,0,1,1,0,01/10,XX,0,XX,0,1,1,1,7
08 /r,"OR r/m8,r8",0,1,0,08,0,0,1,0,00,XX,1,XX,0,0,X,0,8
09 /r,"OR r/m16,r16",0,1,0,09,0,0,1,1,01,XX,1,XX,0,0,X,1,9
09 /r,"OR r/m32,r32",0,1,0,09,0,0,1,0,10,XX,1,XX,0,0,X,1,9
0A /r,"OR r8,r/m8",0,1,0,0A,0,0,1,0,00,XX,1,XX,0,0,X,0,10
0B /r,"OR r16,r/m16",0,1,0,0B,0,0,1,1,01,XX,1,XX,0,0,X,1,11
0B /r,"OR r32,r/m32",0,1,0,0B,0,0,1,0,10,XX,1,XX,0,0,X,1,11
0C ib,"OR AL,imm8",0,0,1,0C,0,0,1,0,00,00,1,XX,0,0,X,0,12
0D iw,"OR AX,imm16",0,0,2,0D,0,0,1,1,01,01,1,XX,0,0,X,1,13
0D id,"OR EAX,imm32",0,0,4,0D,0,0,1,0,10,11,1,XX,0,0,X,1,13
0E,PUSH CS,0,0,0,0E,0,0,1,0,01/10,XX,0,XX,0,0,X,1,14
11 /r,"ADC r/m32,r32",0,1,0,11,0,0,1,0,10,XX,0,XX,0,0,X,0,17
13 /r,"ADC r32,r/m32",0,1,0,13,0,0,1,0,10,XX,0,XX,0,0,X,0,19
16,PUSH SS,0,0,0,16,0,0,1,0,01/10,XX,0,XX,0,0,X,1,22
17,POP SS,0,0,0,17,0,1,1,0,01/10,XX,0,XX,0,1,1,1,23
19 /r,"SBB r/m32,r32",0,1,0,19,0,0,1,0,10,XX,1,XX,0,0,X,0,25
1B /r,"SBB r32,r/m32",0,1,0,1B,0,0,1,0,10,XX,1,XX,0,0,X,0,27
1E,PUSH DS,0,0,0,1E,0,0,1,0,01/10,XX,0,XX,0,0,X,1,30
1F,POP DS,0,0,0,1F,0,1,1,0,01/10,XX,0,XX,0,1,1,1,31
20 /r,"AND r/m8,r8",0,1,0,20,0,0,1,0,00,XX,1,XX,0,0,X,0,32
21 /r,"AND r/m16,r16",0,1,0,21,0,0,1,1,01,XX,1,XX,0,0,X,1,33
